,id,name,color
0,1,Descendingcorticofugalpathways,"[255, 52, 39]"
1,2,Substantianigra,"[255, 186, 0]"
2,3,Subthalamicnucleus,"[0, 0, 255]"
3,4,Molecularlayerofthecerebellum,"[255, 255, 0]"
4,5,Granulecelllevelofthecerebellum,"[0, 255, 255]"
5,6,Alveusofthehippocampus,"[255, 0, 255]"
6,7,Inferiorcerebellarpeduncle,"[52, 255, 13]"
7,10,"Cingulatecortex,area2","[29, 104, 235]"
8,30,Striatum,"[129, 79, 255]"
9,31,Globuspallidus,"[255, 145, 186]"
10,32,Entopeduncularnucleus,"[26, 231, 255]"
11,33,Ventricularsystem,"[2, 44, 255]"
12,34,Mediallemniscus,"[212, 255, 0]"
13,35,Facialnerve,"[0, 176, 63]"
14,36,"Anteriorcommissure,anteriorpart","[124, 252, 0]"
15,37,"Anteriorcommissure,posteriorpart","[255, 186, 0]"
16,38,Ventralhippocampalcommissure,"[174, 0, 232]"
17,39,Thalamus,"[0, 100, 0]"
18,40,Septalregion,"[255, 8, 0]"
19,41,Opticnerve,"[48, 218, 0]"
20,42,Optictractandopticchiasm,"[38, 126, 255]"
21,43,Pinealgland,"[218, 170, 62]"
22,44,Innerear,"[0, 165, 21]"
23,45,Spinalcord,"[134, 255, 90]"
24,46,Commissureofthesuperiorcolliculus,"[33, 230, 255]"
25,47,Brainstem,"[153, 83, 255]"
26,48,Hypothalamicregion,"[226, 120, 161]"
27,49,Inferiorcolliculus,"[238, 47, 44]"
28,50,Superficialgraylayerofthesuperiorcolliculus,"[86, 0, 221]"
29,51,Periaqueductalgray,"[7, 255, 89]"
30,52,Fornix,"[21, 192, 255]"
31,53,Mammillothalamictract,"[238, 186, 0]"
32,54,Commissuralstriaterminalis,"[173, 255, 47]"
33,55,Deeperlayersofthesuperiorcolliculus,"[225, 151, 15]"
34,56,Periventriculargray,"[235, 87, 255]"
35,57,Genuofthefacialnerve,"[250, 244, 247]"
36,58,Pontinenuclei,"[0, 215, 11]"
37,59,Fimbriaofthehippocampus,"[0, 255, 29]"
38,60,Fasciculusretroflexus,"[244, 67, 69]"
39,61,Striamedullarisofthethalamus,"[255, 252, 0]"
40,62,Striaterminalis,"[238, 117, 51]"
41,63,Posteriorcommissure,"[255, 0, 218]"
42,64,Glomerularlayeroftheaccessoryolfactorybulb,"[15, 109, 230]"
43,65,Glomerularlayeroftheolfactorybulb,"[255, 227, 0]"
44,66,Olfactorybulb,"[255, 135, 0]"
45,67,Corpuscallosumandassociatedsubcorticalwhitematter,"[255, 110, 0]"
46,68,Brachiumofthesuperiorcolliculus,"[188, 32, 173]"
47,69,Commissureoftheinferiorcolliculus,"[147, 255, 39]"
48,70,Centralcanal,"[39, 244, 253]"
49,71,Interpeduncularnucleus,"[63, 192, 255]"
50,72,Ascendingfibersofthefacialnerve,"[179, 28, 53]"
51,73,Anteriorcommissure,"[255, 79, 206]"
52,74,Inferiorolive,"[0, 246, 14]"
53,75,Spinaltrigeminalnuclus,"[91, 241, 255]"
54,76,Spinaltrigeminaltract,"[250, 128, 114]"
55,77,Frontalassociiationcortex,"[206, 211, 7]"
56,78,Middlecerebellarpeduncle,"[134, 204, 76]"
57,79,Transversefibersofthepons,"[128, 170, 255]"
58,80,Habenularcommissure,"[69, 235, 202]"
59,81,Nucleusofthestriamedullaris,"[222, 7, 237]"
60,82,Basalforebrainregion,"[225, 240, 13]"
61,83,Supraopticdecussation,"[250, 170, 64]"
62,84,Mediallemniscusdecussation,"[65, 150, 255]"
63,85,Pyramidaldecussation,"[114, 9, 212]"
64,92,Neocortex,"[3, 193, 45]"
65,93,Bednucleusofthestriaterminalis,"[0, 8, 182]"
66,94,Pretectalregion,"[255, 87, 30]"
67,95,CA3,"[165, 131, 107]"
68,96,Dentategyrus,"[91, 45, 10]"
69,97,CA2,"[255, 255, 0]"
70,98,CA1,"[217, 104, 13]"
71,99,Fasciolacinereum,"[255, 82, 82]"
72,0,Subiculum,"[255, 192, 0]"
73,8,Postrhinalcortex,"[40, 112, 130]"
74,9,Presubiculum,"[80, 123, 175]"
75,10,Parasubiculum,"[23, 54, 96]"
76,12,Perirhinalarea35,"[205, 51, 255]"
77,13,Perirhinalarea36,"[112, 48, 160]"
78,14,Entorhinalcortex,"[12, 92, 8]"
79,15,Lateralentorhinalcortex,"[221, 166, 36]"
