,Id,Name,rgb
0,1,Descending corticofugal pathways,"[255, 52, 39]"
1,2,Substantia nigra,"[255, 186, 0]"
2,3,Subthalamic nucleus,"[0, 0, 255]"
3,4,Molecular layer of the cerebellum,"[255, 255, 0]"
4,5,Granule cell level of the cerebellum,"[0, 255, 255]"
5,6,Alveus of thehippocampus,"[255, 0, 255]"
6,7,Inferior cerebellar peduncle,"[52, 255, 13]"
7,10,"Cingulate cortex,  area2","[29, 104, 235]"
8,30,Striatum,"[129, 79, 255]"
9,31,Globus pallidus,"[255, 145, 186]"
10,32,Entopeduncular nucleus,"[26, 231, 255]"
11,33,Ventricular system,"[2, 44, 255]"
12,34,Medial lemniscus,"[212, 255, 0]"
13,35,Facial nerve,"[0, 176, 63]"
14,36,"Anteriorcommissure,  anteriorpart","[124, 252, 0]"
15,37,"Anteriorcommissure,  posteriorpart","[255, 186, 0]"
16,38,Ventral hippocampal commissure,"[174, 0, 232]"
17,39,Thalamus,"[0, 100, 0]"
18,40,Septal region,"[255, 8, 0]"
19,41,Optic nerve,"[48, 218, 0]"
20,42,Optic tract and optic chiasm,"[38, 126, 255]"
21,43,Pineal gland,"[218, 170, 62]"
22,44,Inner ear,"[0, 165, 21]"
23,45,Spinal cord,"[134, 255, 90]"
24,46,Commissure of the superior colliculus,"[33, 230, 255]"
25,47,Brainstem,"[153, 83, 255]"
26,48,Hypothalamicr egion,"[226, 120, 161]"
27,49,Inferior colliculus,"[238, 47, 44]"
28,50,Superficial gray layer of the superior colliculus,"[86, 0, 221]"
29,51,Periaqueductal gray,"[7, 255, 89]"
30,52,Fornix,"[21, 192, 255]"
31,53,Mammillothalamic tract,"[238, 186, 0]"
32,54,Commissural stria terminalis,"[173, 255, 47]"
33,55,Deeper layers of the superior colliculus,"[225, 151, 15]"
34,56,Periventricular gray,"[235, 87, 255]"
35,57,Genu of the facial nerve,"[250, 244, 247]"
36,58,Pontine nuclei,"[0, 215, 11]"
37,59,Fimbria of the hippocampus,"[0, 255, 29]"
38,60,Fasciculus retroflexus,"[244, 67, 69]"
39,61,Stria medullaris of the thalamus,"[255, 252, 0]"
40,62,Stria terminalis,"[238, 117, 51]"
41,63,Posterior commissure,"[255, 0, 218]"
42,64,Glomerular layer of the accessory olfactory bulb,"[15, 109, 230]"
43,65,Glomerular layer of the olfactory bulb,"[255, 227, 0]"
44,66,Olfactory bulb,"[255, 135, 0]"
45,67,Corpus callosum and associated subcortical whitematter,"[255, 110, 0]"
46,68,Brachium of the superior colliculus,"[188, 32, 173]"
47,69,Commissure of the inferior colliculus,"[147, 255, 39]"
48,70,Central canal,"[39, 244, 253]"
49,71,Interpeduncular nucleus,"[63, 192, 255]"
50,72,Ascendingfibers of the facial nerve,"[179, 28, 53]"
51,73,Anterior commissure,"[255, 79, 206]"
52,74,Inferior olive,"[0, 246, 14]"
53,75,Spinal trigeminal nuclus,"[91, 241, 255]"
54,76,Spinal trigeminal tract,"[250, 128, 114]"
55,77,Frontal associiation cortex,"[206, 211, 7]"
56,78,Middle cerebellar peduncle,"[134, 204, 76]"
57,79,Transverse fibers of the pons,"[128, 170, 255]"
58,80,Habenular commissure,"[69, 235, 202]"
59,81,Nucleus of the striamedullaris,"[222, 7, 237]"
60,82,Basal forebrain region,"[225, 240, 13]"
61,83,Supraoptic decussation,"[250, 170, 64]"
62,84,Medial lemniscus decussation,"[65, 150, 255]"
63,85,Pyramidal decussation,"[114, 9, 212]"
64,92,Neocortex,"[3, 193, 45]"
65,93,Bed nucleus of the striaterminalis,"[0, 8, 182]"
66,94,Pretectal region,"[255, 87, 30]"
67,95,CA3,"[165, 131, 107]"
68,96,Dentate gyrus,"[91, 45, 10]"
69,97,CA2,"[255, 255, 0]"
70,98,CA1,"[217, 104, 13]"
71,99,Fasciola cinereum,"[255, 82, 82]"
72,0,Subiculum,"[255, 192, 0]"
73,8,Postrhinal cortex,"[40, 112, 130]"
74,9,Presubiculum,"[80, 123, 175]"
75,10,Parasubiculum,"[23, 54, 96]"
76,12,Perirhinal area35,"[205, 51, 255]"
77,13,Perirhinal area36,"[112, 48, 160]"
78,14,Entorhinal cortex,"[12, 92, 8]"
79,15,Lateral entorhinal cortex,"[221, 166, 36]"
